slug,colorCode,type,number,name,alternateNames,ciConstitutionNumber,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
PO67,O,CIPIGMENT,67,Pyrazoloquinazolone Orange,"Brilliant Orange [SCH.a];
 C.I. Pigment Orange 67;
 Chrome Orange Tone (hue) [SCH.o(Mus)];
 Coral Orange [OH.o.w];
 Enceprint Orange 2953;
 Mono Azo Orange [GR.o]; 
 Paliotol Orange D 2953; 
 Paliotol Orange L;
 Paliotol® Orange L 2930 HD; 
 Pigment Orange 67;
 Pyrazolo -
 Chinazolone Orange;
 Pyrazoloquinazolone Orange; 
 Scheveningen Red Scarlet [OH];
 Sico Fast Orange L2952HD;",12915,"Synthetic Organic;
 azolone;
 Pyrazolo quinazolone;
 Quinazolo- pyrazolone;
 Pyrazolo - Chinazolone Orange;
 CAS 74336-59-7","Saturated red-orange;
 Moderatly staining w/ average tinting strength
 † Darkens, fades",S/O,NR,A,
PO68,O,CIPIGMENT,68,Sandorin Orange,"Azo Methine Orange [GU.pd];
 C.I. Pigment Orange 68;
 Pigment Orange 68;
 Sandorin Orange;",486150,"Nickel complex Methine;
 Azo Methine Nickel Complex;
 CAS 42844-93-9",Reddish orange;,S/T,NR,B,
PO69,O,CIPIGMENT,69,Isoindoline Orange,"Cadmium Red Orange Hue;
 C.I. Pigment Orange 69;
 Isoindolinone Orange [GU.pd];
 Naphthol red;
 Paliogen Orange;
 Pigment Orange 69;
 Pyranthron Orange;
 Pyranthrone orange;
 Scarlet;
 Scheveningen Orange [OH.wd]",56292,"Synthetic Organic;
 Isoindolinone; Pyrazoloquinazolone;
 CAS 85959-60-0","Saturated red-orange;
 Moderately staining w/ moderate tinting strength
 † Darkens in masstone, Fades in tints",O,NR,A,
PO71,O,CIPIGMENT,71,Pyrrole Orange,"Cadmium Orange Hue [LK];
 C.I. Pigment Orange 71;
 Cromophtal DPP Orange TR;
 Irgazin DPP Orange 398;
 Orange [SCH]; 
 Permanent Orange [LK]; 
 Pigment Orange 71;
 Poppy Red [SCH.o]; 
 Translucent Orange [SCH.a.g.o(Mus).w.];
 Transparent Orange [BA.w];
 Transparent Indian Orange [LB.o];
 Transparent Permanent Orange [TA.a.af];
 Transparent Pyrrol Orange [DS.w | GO.a.af]",561200,"Synthetic Organic;
 Diketopyrrolopyrrole orange;
 C20-H10-N4-O2
 CAS 84632-50-8
 EC 276-057-2","Dull reddish to Mid-Orange;
 Staining with average to good tinting strength
 † Darkens in masstone slightly",X,NR,A,
PO72,O,CIPIGMENT,72,Hostaprint Orange H4GL 32,"C.I. Pigment Orange 72;
 Hostaprint Orange H4GL 32;
 Pigment Orange 72",,"Synthetic Organic;
 Benzimidazolone;
 CAS 78245-94-0","Brilliant orange;
 moderate tinting strength",S/T,NR,A,
PO73,O,CIPIGMENT,73,Pyrrol Orange,"Aritint Orange;
 Bright Orange;
 Cadmium Orange Hue [BA.a | LQ.a];
 C.I. Pigment Orange 73;
  Cosmoray Orange*?
 Da Vinci Orange [DV.w];
 Dipyrrolopyrrol Orange;
 Irgazin Orange;
 Irgazin DPP Orange 16A;
 Irgazin® DPP Orange RA;
 Irgazine® Orange DPP RA [KP.p];
 Matisse Orange DPP [MT];
 Orange [JO.a];
 Permanent Orange [MH.o | WL.o]; 
 Permanent Vermilion (hue) [RT.o];
 Pigment Orange 73;
 Pyrrol Orange [DS.a.o.w | LQ.a]; 
 Pyrrole Orange [CR | GO.a.ab.af.ao | LA.a | OH.a | TA.a. |WN.a];
 Red Orange [SE.a];
 Scarlet Pyrrol [MG.w];
 Scheveningen Orange [OH.o];
 Transparent Perinone Orange [CR.ao.o | GO.a];
 Transparent Pyrrole Orange [GO.a];
 Unisphere DPP Orange;
 Vermillion (hue) [RT.a.o | SQ.a];
 Vermillion Pyrrolo [BX.o.w];
 Versal Orange RA
 Warm orange [DR.w];
 Winsor Orange [WN.o.w]
 Winsor Orange (red shade) [WN.o.w.wp.]",561170,"Synthetic Organic;
 Diketo-pyrrolo-pyrrole orange;
 CAS 71832-85-4","Light bright Saturated red shade orange
 † May slightly fade in tints, over long periods of being exposed to direct sunlight.",S/T,NR,A,
PO74,O,CIPIGMENT,74,Pigment Orange 74,"C.I. Pigment Orange 74;
 Graphtol Orange;
 Pigment Orange 74",,"Synthetic Organic;
 Azo;
 CAS 85776-14-3",Bright reddish orange,O,NR,A,
PO75,O,CIPIGMENT,75,Cerium Sulfide Orange,"Cerium Sulfide Orange;
 C.I. Pigment Orange 75;
 Neolor Orange
 Pigment Orange 75",77283:1,"Inorganic; Cerium Sulfide;
 CAS 12014-93-6",Reddish orange,X,NR,,
PO77,O,CIPIGMENT,77,Vat Orange 23,"C.I. Pigment Orange 77;
 Pigment Orange 77;
 Vat Orange 1;
 Vat Orange 23;",59105,"Synthetic Organic;
 Dibromo derivative of Anthanthrone; 
 CAS 1324-11-4",Bright yellowish orange,T,NR,,
PO78,O,CIPIGMENT,78,Cerium Sulfide Orange,"Cerium Sulfide Orange;
 C.I. Pigment Orange 78;
 Neolor Light Orange S;
 Pigment Orange 78",77285:0,"Inorganic;
 Cerium Sulfide;
 CAS 12014-93-6
 12031- 49-1
 EC 234-603-7
 234-752-8",Mid-shade orange,O,NR,,
