manufacturer,name,hex,lineId,pigmentSlugs,lightfastRatingId,transparencyRatingId,stainingRatingId,granulationRatingId,manufacturerDescription,url
Blockx,Indigo,#18337F,,PB15|PB29|PBk9,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-indigo-15-ml-tube/
Blockx,Italian Earth,#BD8218,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-italian-earth-15-ml-tube/
Blockx,Ivory Black,#373D41,,PBk9,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-ivory-black-15-ml-tube/
Blockx,Lamp Black,#000000,,PBk6,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-lamp-black-15-ml-tube/
Blockx,Lemon Yellow,#FFEA00,,PY184,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-lemon-yellow-15-ml-tube/
Blockx,Light Red,#EB7923,,PR102,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-light-red-15-ml-tube/
Blockx,Magenta,#5F1B2B,,PV19,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-magenta-15-ml-tube/
Blockx,Manganese Violet,#7E0E8A,,PV16,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-manganese-violet-15-ml-tube/
Blockx,Naples Yellow,#EECF49,,PY35|PY42|PW4,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-naples-yellow-15-ml-tube/
Blockx,Naples Yellow Reddish,#F2B857,,PY35|PY42|PO20|PW4,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-naples-yellow-reddish-15-ml-tube/
Blockx,Neutral Tint,#030000,,PBk11|PB15|PV19,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-neutral-tint-15-ml-tube/
Blockx,Nickel Yellow,#EBE176,,PY53,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-nickel-yellow-15-ml-tube/
Blockx,Olive Green,#2E3A16,,PY154|PG7|PV19,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-olive-green-15-ml-tube/
Blockx,Payne's Gray,#2E3B4F,,PBk11|PB15:1|PB29,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-paynes-gray-15-ml-tube/
Blockx,Permanent Green,#055B35,,PY154|PG7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-permanent-green-15-ml-tube/
Blockx,Permanent Orange,#FE8105,,PO62,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-permanent-orange-15-ml-tube/
Blockx,Phthalo Green,#124D46,,PG36,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-phthalo-green-15-ml-tube/
Blockx,Primary Blue,#29317D,,PB15:3,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-primary-blue-15-ml-tube/
Blockx,Primary Yellow,#FFDD0A,,PY154,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-primary-yellow-15-ml-tube/
Blockx,Prussian Blue,#032A56,,PB27,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-prussian-blue-15-ml-tube/
Blockx,Pyrrolo Red,#FF260C,,PR255,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-pyrrolo-red-15-ml-tube/
Blockx,Pyrrolo Vermilion,#FD6921,,PO73,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-pyrrolo-vermilion-15-ml-tube/
Blockx,Quinacriadone Magenta,#77031F,,PR122,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-quinacriadone-magenta-15-ml-tube/
Blockx,Quinacriadone Red,#C41C00,,PR209,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-quinacriadone-red-15-ml-tube/
Blockx,Rose Lake,#980523,,PV19,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-rose-lake-15-ml-tube/
Blockx,Rose Pale Lake,#C91200,,PV19,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-rose-pale-lake-15-ml-tube/
Blockx,Sepia,#4E3627,,PBk11|PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-sepia-15-ml-tube/
Blockx,Titianium White,#FFFFFF,,PW6,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-titianium-white-15-ml-tube/
Blockx,Transparent Mars Brown,#BD630C,,PR101,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-transparent-mars-brown-15-ml-tube/
Blockx,Transparent Mars Red,#66271C,,PR101,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-transparent-mars-red-15-ml-tube/
Blockx,Transparent Mars Yellow,#A77310,,PY42,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-transparent-mars-yellow-15-ml-tube/
Blockx,Turquoise Blue,#1E5A9C,,PB36,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-turquoise-blue-15-ml-tube/
Blockx,Turquoise Green,#3A8193,,PB36,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-turquoise-green-15-ml-tube/
Blockx,Ultramarine Violet,#3F39A9,,PV15,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-ultramarine-violet-15-ml-tube/
Blockx,Van Dyck Brown,#3F362E,,PBr7,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-van-dyck-brown-15-ml-tube/
Blockx,Venetian Red,#CE5900,,PR102,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-venetian-red-15-ml-tube/
Blockx,Viridian,#1B8666,,PG18,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-viridian-15-ml-tube/
Blockx,Yellow Ochre,#C09521,,PY42,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-yellow-ochre-15-ml-tube/
Blockx,Zinc White,#F9F6EC,,PW4,,,,,,https://www.dickblick.com/items/blockx-artists-watercolor-zinc-white-15-ml-tube/
Da Vinci,Alizarin Crimson Quinacridone,#B4002E,,PV19|PV19,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-alizarin-crimson-quinacridone-15-ml-tube/
Da Vinci,Arylide Yellow,#FBE105,,PY97|PY97,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-arylide-yellow-15-ml-tube/
Da Vinci,Alizarin Gold,#D0291F,,PR177|PY42|PR177|PY42,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-alizarin-gold-15-ml-tube/
Da Vinci,Arylide Yellow Deep,#F9AC25,,PY65,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-arylide-yellow-deep-15-ml-tube/
Da Vinci,Aureolin Mix,#F6EA00,,PY40|PY3|PY40|PY3,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-aureolin-mix-37-ml-tube/
Da Vinci,Benzimida Orange,#FE7B22,,PO62,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-benzimida-orange-15-ml-tube/
Da Vinci,Benzimida Orange Deep,#EA5600,,PO36|PO36,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-benzimida-orange-deep-15-ml-tube/
Da Vinci,Bright Red,#D22F18,,PR188 |PY65,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-bright-red-15-ml-tube/
Da Vinci,Burnt Sienna,#793500,,PBr7,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-burnt-sienna-15-ml-tube/
Da Vinci,Burnt Sienna Deep,#47160A,,PR101,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-burnt-sienna-deep-15-ml-tube/
Da Vinci,Burnt Umber,#4E2603,,PBr7,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-burnt-umber-15-ml-tube/
Da Vinci,Cadmium Orange,#F27B10,,PO20,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-orange-37-ml-tube/
Da Vinci,Cadmium Red Deep,#D60025,,PR108,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-red-deep-37-ml-tube/
Da Vinci,Cadmium Red Light,#FE3D15,,PR108,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-red-light-37-ml-tube/
Da Vinci,Cadmium Red Medium,#F5371E,,PR108|PR108,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-red-medium-37-ml-tube/
Da Vinci,Cadmium Scarlet,#FF3A00,,PR108,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-scarlet-15-ml-tube/
Da Vinci,Cadmium Yellow Deep,#FFC11B,,PY35|PO20|PY35|PO20,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-yellow-deep-37-ml-tube/
Da Vinci,Cadmium Yellow Lemon,#F9F647,,PY35|PY35,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-yellow-lemon-15-ml-tube/
Da Vinci,Cadmium Yellow Light,#FFEA00,,PY35|PY35,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-yellow-light-37-ml-tube/
Da Vinci,Cadmium Yellow Medium,#FFEA00,,PY35|PY35,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cadmium-yellow-medium-37-ml-tube/
Da Vinci,Cerulean Blue Genuine,#007EE2,,PB36,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cerulean-blue-genuine-37-ml-tube/
Da Vinci,Cerulean Blue Hue,#336EB5,,PB15|PW6,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-cerulean-blue-hue-15-ml-tube/
Da Vinci,Chinese White,#FFFFFF,,PW6|PW4,,,,,,https://www.dickblick.com/items/da-vinci-artists-permanent-watercolor-chinese-white-37-ml-tube/
